X,Y,Z
198,199,39
218,208,27
311,212,26
361,225,29
307,243,29
318,258,27
236,265,28
392,273,27
317,287,29
200,291,26
344,295,28
326,308,26
349,313,26
261,348,26
261,352,26
247,360,27
271,361,27
214,73,28
395,83,28
201,92,29
231,95,30
289,97,28
274,100,29
326,105,28
278,115,30
238,124,33
288,159,39
455,139,29
330,144,28
314,139,34
383,168,37
234,177,27
337,176,30
239,190,27
244,192,28
180,202,32
226,206,26
165,211,28
260,210,30
362,212,37
385,214,28
382,218,27
186,223,29
208,221,30
202,235,27
184,237,30
370,238,29
302,260,28
232,275,27
228,298,32
314,328,29
308,329,28
245,336,32
136,69,28
233,65,31
203,78,28
242,79,29
194,100,28
319,107,32
365,122,30
183,132,28
150,140,28
231,152,33
176,152,28
408,158,31
342,160,31
201,161,30
377,166,28
349,165,34
421,173,30
187,182,28
323,188,40
258,191,31
401,196,31
393,199,31
236,203,31
278,207,31
170,217,29
416,238,28
277,265,29
371,268,30
187,281,28
364,278,31
202,302,29
215,318,30
346,332,28
264,332,28
306,336,29
189,84,29
372,94,29
180,98,28
157,102,29
241,108,35
411,121,30
154,149,29
338,150,34
351,151,34
372,155,34
179,162,30
194,164,33
242,179,30
286,183,32
405,184,32
469,194,29
438,196,28
166,203,30
462,212,29
215,227,31
339,231,31
331,236,30
291,254,38
208,262,31
241,348,30
196,77,32
195,86,33
213,92,30
245,94,30
361,105,34
253,119,30
167,120,31
190,122,33
460,137,30
418,132,33
435,149,31
179,150,32
417,149,30
327,159,30
274,159,31
423,183,37
169,195,32
328,212,36
244,212,29
292,213,35
292,210,42
172,251,31
227,280,32
337,288,31
283,300,34
231,315,31
304,323,31
243,320,39
288,330,31
152,71,33
184,73,31
280,73,32
123,83,32
361,83,32
179,88,34
223,108,38
272,123,32
126,125,32
397,130,32
393,141,32
361,158,35
223,173,34
460,174,32
266,177,34
434,179,32
429,196,33
271,201,31
263,210,31
377,218,31
310,221,31
364,221,32
336,227,45
171,231,33
213,250,31
347,255,31
261,266,45
184,264,32
322,263,41
181,278,32
316,278,34
253,285,33
364,293,30
259,326,32
246,345,32
315,348,32
220,360,31
149,38,32
226,80,36
389,97,32
329,104,33
137,104,35
288,106,33
311,106,33
185,109,36
327,111,33
147,111,34
433,125,32
428,128,32
463,130,32
373,130,34
385,157,31
393,160,33
450,163,34
231,163,34
412,174,33
392,189,32
371,201,41
450,212,32
313,229,33
275,237,34
312,242,33
221,257,31
191,261,34
235,271,34
209,276,37
289,290,33
181,299,34
284,312,33
281,315,33
328,331,33
266,352,32
266,362,32
375,119,35
170,128,33
198,134,33
446,131,36
316,156,38
392,157,33
219,205,35
248,203,38
383,206,34
212,208,34
225,211,47
264,216,43
233,222,37
312,222,33
450,239,33
270,250,35
234,251,35
197,277,33
273,289,36
303,287,35
237,303,35
337,300,45
454,324,34
216,327,33
233,329,34
53,375,33
139,58,35
208,66,35
304,87,35
201,92,38
360,116,35
406,122,42
201,131,35
186,136,37
283,138,41
267,138,34
142,140,33
444,139,35
178,143,34
347,155,35
162,161,34
401,161,33
183,166,41
341,164,36
187,177,36
254,175,37
198,182,37
436,189,35
222,222,36
366,224,33
302,260,36
240,286,44
375,287,34
